GreekCouncil,GreekOrganization,City,State,Country,School,PublicPrivateSchool,DomesticIntSchool,Boarding,Religion,Gender,Tuition,FreeLunchPercent,AthleteClassification,SportsTeam,Scholarship,TypeScholarship,Latitude,Longitude,Affiliation,SLG
None,None,Accokeek,Maryland,United States,Saint Stephens & Saint Agnes School,private,Domestic,Day,Episcopal,Co-Ed,36610,NA,Non-Athlete,None,No,None,38.667617,-77.028309,Neither,None
None,None,Advance,North Carolina,United States,Davie High School,public,Domestic,Day,Unafilliated,Co-Ed,0,0.34741523,Athlete,Fooball,No,None,35.941248,-80.409222,Neither,None
None,None,Ajman,NA,United Arab Emirates,Lycee Francais International,private,International,Day,Unafilliated,Co-Ed,13093.46,NA,Non-Athlete,None,No,None,25.509129,55.361907,Neither,None
None,None,Alameda,California,United States,Alameda High School,public,Domestic,Day,Unafilliated,Co-Ed,0,0.2268,Non-Athlete,None,No,None,37.609029,-121.899142,Neither,None
Fraternity,Sigma Chi,Albuquerque,New Mexico,United States,Manzano High School,public,Domestic,Day,Unafilliated,Co-Ed,0,0.56784492,Non-Athlete,None,No,None,35.084103,-106.650985,IFC,None
None,None,Albuquerque,New Mexico,United States,Albuquerque Academy,private,Domestic,Day,Unafilliated,Co-Ed,22870,NA,Non-Athlete,None,No,None,35.084103,-106.650985,SLG,Brownstone
None,None,Albuquerque,New Mexico,United States,Albuquerque Academy,private,Domestic,Day,Unafilliated,Co-Ed,22870,NA,Athlete,Men's Track,No,None,35.084103,-106.650985,Neither,None
None,None,Albuquerque,New Mexico,United States,Albuquerque Academy,private,Domestic,Day,Unafilliated,Co-Ed,22870,NA,Non-Athlete,None,No,None,35.084103,-106.650985,Neither,None
None,None,Alexandria,Virginia,United States,Annandale High School,public,Domestic,Day,Unafilliated,Co-Ed,0,0.5183,Non-Athlete,None,No,None,38.80511,-77.047023,Neither,None
None,None,Allen,Texas,United States,Allen High School,public,Domestic,Day,Unafilliated,Co-Ed,0,0.143,Non-Athlete,None,No,None,33.103174,-96.67055,Neither,None
None,None,Allen,Texas,United States,Allen High School,public,Domestic,Day,Unafilliated,Co-Ed,0,0.143,Non-Athlete,None,No,None,33.103174,-96.67055,Neither,None
Sorority,Kappa Alpha Theta,Allen,Texas,United States,Allen High School,public,Domestic,Day,Unafilliated,Co-Ed,0,0.143,Non-Athlete,None,No,None,33.103174,-96.67055,Panhel,None
Fraternity,Sigma Alpha Epsilon,Allentown,Pennsylvania,United States,Parkland High School,public,Domestic,Day,Unafilliated,Co-Ed,0,0.1950048,Non-Athlete,None,No,None,40.602206,-75.471279,IFC,None
Fraternity,Delta Tau Delta,Alpharetta,Georgia,United States,Chattahoochee High School,public,Domestic,Day,Unafilliated,Co-Ed,0,0.11442256,Non-Athlete,None,No,None,34.070958,-84.274733,IFC,None
None,None,Alpharetta,Georgia,United States,Saint PIUS X Catholic High School,private,Domestic,Day,Catholic,Co-Ed,14170,NA,Athlete,Baseball,No,None,34.070958,-84.274733,Neither,None
None,None,Alpharetta,Georgia,United States,Alpharetta High School,public,Domestic,Day,Unafilliated,Co-Ed,0,0.1135,Non-Athlete,None,No,None,34.070958,-84.274733,Neither,None
None,None,Alpharetta,Georgia,United States,Alpharetta High School,public,Domestic,Day,Unafilliated,Co-Ed,0,0.1135,Non-Athlete,None,No,None,34.070958,-84.274733,Neither,None
Sorority,Alpha Phi,Alpharetta,Georgia,United States,Milton High School,public,Domestic,Day,Unafilliated,Co-Ed,0,0.10489856,Non-Athlete,None,No,None,34.070958,-84.274733,Panhel,None
Sorority,Delta Gamma,Alpharetta,Georgia,United States,Johns Creek High School,public,Domestic,Day,Unafilliated,Co-Ed,0,0.07061163,Non-Athlete,None,No,None,34.070958,-84.274733,Panhel,None
Sorority,Delta Delta Delta,Ambridge,Pennsylvania,United States,Sewickley Academy,private,Domestic,Day,Unafilliated,Co-Ed,26670,NA,Non-Athlete,None,No,None,40.589234,-80.22506,Panhel,None
None,None,Anacortes,Washington,United States,Anacortes High School,public,Domestic,Day,Unafilliated,Co-Ed,0,0.2744,Non-Athlete,None,No,None,48.502012,-122.623736,Neither,None
None,None,Anchorage,Alaska,United States,West Anchorage High School,public,Domestic,Day,Unafilliated,Co-Ed,0,0.47,Non-Athlete,None,No,None,61.216313,-149.894852,Neither,None
None,None,Andover,Massachusetts,United States,Andover High School,public,Domestic,Day,Unafilliated,Co-Ed,0,0.0727,Non-Athlete,None,No,None,42.65717,-71.140878,Neither,None
None,None,Ankara,NA,Turkey,Ted Ankara College Foundation High School,private,International,Day,Unafilliated,Co-Ed,5450.21,NA,Non-Athlete,None,No,None,39.922073,32.853758,SLG,Cooper
None,None,Ankara,NA,Turkey,Robert College,private,International,Day,Unafilliated,Co-Ed,20000,NA,Non-Athlete,None,No,None,39.922073,32.853758,Neither,None
